cod_ine,id_candidato,dist_m
4625001003.0,J2E_0566,665.72
4625001003.0,J2E_0206,670.27
4625001003.0,J1_0074,671.26
4625001003.0,J2E_0571,674.59
4625001003.0,J2E_0210,676.29
4625001003.0,J2E_0107,677.6
4625001003.0,J2E_0545,678.64
4625001003.0,J2E_0187,680.99
4625001003.0,J2V_0261,687.36
4625001003.0,J2E_0780,689.61
4625001003.0,J2E_0188,709.35
4625001003.0,J2E_0137,709.72
4625001003.0,J2E_0375,721.08
4625001003.0,J2E_0335,724.33
4625001003.0,J2E_0095,729.75
4625001003.0,J2E_0174,730.65
4625001003.0,J2E_0306,732.97
4625001003.0,J2E_0099,735.11
4625001003.0,J1_0028,735.69
4625001003.0,J2E_0172,735.69
4625001003.0,J2E_0558,736.54
4625001003.0,J1_0084,741.62
4625001003.0,J1_0053,744.16
4625001003.0,J2E_0208,748.22
4625001003.0,J2E_0643,772.13
4625001003.0,J1_0143,782.75
4625001003.0,J2E_0333,782.75
4625001003.0,J2E_0094,782.9
4625001003.0,J2E_0339,783.69
4625001003.0,J1_0066,790.04
4625001003.0,J2V_0213,791.47
4625001003.0,J1_0101,794.4
4625001003.0,J1_0140,794.4
4625001003.0,J2V_0231,807.44
4625001003.0,J2E_0004,807.52
4625001003.0,J2E_0218,815.46
4625001003.0,J2E_0341,827.86
4625001003.0,J2V_0215,827.86
4625001003.0,J2E_0113,837.96
4625001003.0,J2E_0209,840.44
4625001003.0,J2E_0280,842.54
4625001003.0,J2E_0090,849.23
4625001003.0,J2E_0093,849.44
4625001003.0,J2E_0725,849.62
4625001003.0,J2E_0092,855.17
4625001003.0,J2E_0518,864.09
4625001003.0,J2E_0047,879.93
4625001003.0,J2E_0376,881.54
4625001003.0,J2E_0332,889.19
4625001003.0,J2E_0340,896.53
4625001003.0,J2E_0156,906.21
4625001003.0,J2E_0264,913.65
4625001003.0,J2E_0539,922.42
4625001003.0,J1_0044,956.24
4625001003.0,J2E_0054,957.22
4625001003.0,J1_0059,962.58
4625001003.0,J2E_0307,966.7
4625001003.0,J2E_0475,978.99
4625001003.0,J2V_0272,978.99
4625001003.0,J1_0068,982.64
4625001003.0,J2V_0202,983.77
4625001003.0,J2E_0001,999.98
4625001003.0,J1_0011,1000.7
4625001003.0,J2E_0173,1000.81
4625001003.0,J2E_0538,1001.81
4625001003.0,J2E_0355,1005.0
4625001003.0,J2E_0133,1012.84
4625001003.0,J2E_0204,1016.1
4625001003.0,J2E_0342,1026.22
4625001003.0,J2E_0527,1026.3
4625001003.0,J2E_0091,1027.06
4625001003.0,J2E_0528,1048.54
4625001003.0,J2V_0194,1051.48
4625001003.0,J2V_0205,1061.15
4625001003.0,J2V_0227,1064.16
4625001003.0,J2E_0620,1064.79
4625001003.0,J2E_0549,1072.43
4625001003.0,J2E_0366,1073.75
4625001003.0,J2E_0313,1075.6
4625001003.0,J2E_0232,1082.2
4625001003.0,J2E_0561,1090.94
4625001003.0,J2E_0529,1096.6
4625001003.0,J2E_0002,1100.6
4625001003.0,J2E_0361,1127.07
4625001003.0,J2E_0338,1139.72
4625001003.0,J1_0024,1140.48
4625001003.0,J2E_0290,1141.07
4625001003.0,J2E_0559,1141.25
4625001003.0,J2E_0051,1146.13
4625001003.0,J2E_0364,1147.3
4625001003.0,J2E_0112,1158.55
4625001003.0,J1_0052,1166.73
4625001003.0,J1_0020,1174.15
